method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,202,1500,20,0,-0.7618489827691071,-0.7618489827691071,0.7618489827691071,13,1500,75.0,0.35,0.09333333333333334,0.26215800193249067,0.8127442843339352,0.7279187817258883,0.004211239611225057,0.005401758826212732,0.004211239611225057,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,1500,19,1,-0.058666224984571615,-0.058666224984571615,0.058666224984571615,0,1486,74.3,1.0,0.2557200538358008,1.1946682125539994,0.14666556246142903,0.0,0.0032014423976687457,0.005131670884902096,0.003201442397668746,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202,1500,20,0,-0.06605775987218117,-0.06605775987218117,0.06605775987218117,1,1500,75.0,0.95,0.25333333333333335,1.1687978404473658,0.1651443996804529,0.0,0.003461875627460483,0.005441624564363944,0.003461875627460483,0.0054416245643639435,,,,,,,
rl_policy,202,1500,20,0,-0.3404326102392362,-0.3404326102392362,0.3404326102392362,6,1500,75.0,0.7,0.18666666666666668,0.8157762651347268,0.4173026677609094,0.2891859052247874,0.003635525841589225,0.005401758826212732,0.003635525841589225,0.0054017588262127315,0.5346928834915161,0.5194154977798462,0.5658186078071594,0.6434570550918579,0.5229800939559937,0.5486160516738892,0.48126286268234253
all_closed,303,5,5,0,-0.8226157082258654,-0.8226157082258654,0.8226157082258654,4,1500,75.0,0.2,0.013333333333333334,0.18148331908181153,0.870369057798706,0.7907801418439716,0.0011798578488833075,0.0013504397065531844,0.0011798578488833073,0.0013504397065531829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,5,4,1,-0.08310832623781486,-0.08310832623781486,0.08310832623781486,1,1500,75.0,0.75,0.04,1.109120858167648,0.20777081559453714,0.0,0.0007996024578275422,0.001080351765242547,0.0007996024578275424,0.0010803517652425462,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,5,5,0,-0.07936686884428941,-0.07936686884428941,0.07936686884428941,1,1500,75.0,0.8,0.05333333333333334,1.122215959044987,0.19841717211072352,0.0,0.001027464638139771,0.0013604061410909863,0.001027464638139771,0.0013604061410909859,,,,,,,
rl_policy,303,5,5,0,-0.19394880442814827,-0.19394880442814827,0.19394880442814827,1,1500,75.0,0.8,0.05333333333333334,0.9781412098179368,0.30132770727290226,0.12236286919831224,0.0010199373573177987,0.0013504397065531837,0.0010199373573177989,0.0013504397065531829,0.5066574215888977,0.575869619846344,0.5608314275741577,0.653544008731842,0.49756234884262085,0.5828816294670105,0.5890907049179077
all_closed,303,300,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,300,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,300,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,300,20,0,-0.26217379273355945,-0.26217379273355945,0.26217379273355945,6,1500,75.0,0.7,0.18666666666666668,0.8987258900210706,0.35805293569923524,0.19825436408977556,0.0035608962788586554,0.005401758826212733,0.0035608962788586554,0.0054017588262127315,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495407581329346,0.6088516712188721,0.6045918464660645
all_closed,303,500,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,500,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,500,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,500,20,0,-0.3313740052220166,-0.3313740052220166,0.3313740052220166,7,1500,75.0,0.65,0.17333333333333334,0.809045396997405,0.4221104307161393,0.27088305489260145,0.003688832672111063,0.005401758826212734,0.003688832672111063,0.0054017588262127315,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388293504714966,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,303,700,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,700,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,700,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,700,20,0,-0.33063288461065493,-0.33063288461065493,0.33063288461065493,7,1500,75.0,0.65,0.17333333333333334,0.8091333525500585,0.42204760532138674,0.26968973747016706,0.0036888326721110634,0.005401758826212732,0.003688832672111063,0.0054017588262127315,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,303,900,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,900,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,900,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,900,20,0,-0.3305802356749762,-0.3305802356749762,0.3305802356749762,7,1500,75.0,0.65,0.17333333333333334,0.8093176238249342,0.4219159829821898,0.26968973747016706,0.0036888326721110634,0.005401758826212732,0.003688832672111063,0.0054017588262127315,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,303,1000,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,1000,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,1000,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,1000,20,0,-0.3313613219870697,-0.3313613219870697,0.3313613219870697,7,1500,75.0,0.65,0.17333333333333334,0.8090897883197192,0.422078722628772,0.27088305489260145,0.003688832672111063,0.005401758826212733,0.003688832672111063,0.0054017588262127315,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
all_closed,303,1500,20,0,-0.783976705684934,-0.783976705684934,0.783976705684934,14,1500,75.0,0.3,0.08,0.2425626434228101,0.8267409689837071,0.7554671968190855,0.004285869173955626,0.005401758826212732,0.004285869173955627,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,1500,19,1,-0.08155226979690125,-0.08155226979690125,0.08155226979690125,3,1500,75.0,0.8421052631578947,0.21333333333333335,1.1145670557108456,0.2038806744922531,0.0,0.003241055295727638,0.005131670884902095,0.0032410552957276386,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,303,1500,20,0,-0.07323607738343703,-0.07323607738343703,0.07323607738343703,4,1500,75.0,0.8,0.21333333333333335,1.1436737291579704,0.18309019345859257,0.0,0.0034511355789781854,0.0054416245643639435,0.0034511355789781863,0.0054416245643639435,,,,,,,
rl_policy,303,1500,20,0,-0.29627645252124213,-0.29627645252124213,0.29627645252124213,7,1500,75.0,0.65,0.17333333333333334,0.848610485305569,0.3938496533531649,0.23122765196662692,0.003692386460812518,0.005401758826212732,0.003692386460812518,0.0054017588262127315,0.5346928834915161,0.5194154977798462,0.5658186078071594,0.6434570550918579,0.5229800939559937,0.5486160516738892,0.48126286268234253
